"","id","BLOCK","QES","PAIR","BEST","WORST","RES.B","RES.W","RES","less","medium","high","less1","medium1","high1","less2","medium2","high2","less3","medium3","high3","STR"
"1",1,1,1,1,1,2,3,6,0,1,-1,0,0,-1,1,0,0,0,-1,0,1,1010
"2",1,1,1,2,1,3,3,6,0,1,-1,0,0,0,0,-1,1,0,0,-1,1,1010
"3",1,1,1,3,1,4,3,6,0,1,0,-1,-1,0,1,0,0,0,0,-1,1,1010
"4",1,1,1,4,1,5,3,6,0,1,0,-1,0,-1,1,-1,1,0,0,0,0,1010
"5",1,1,1,5,1,6,3,6,0,1,0,-1,0,0,0,0,1,-1,-1,0,1,1010
"6",1,1,1,6,2,1,3,6,0,-1,1,0,0,1,-1,0,0,0,1,0,-1,1010
"7",1,1,1,7,2,3,3,6,0,0,0,0,0,1,-1,-1,1,0,1,-1,0,1010
"8",1,1,1,8,2,4,3,6,0,0,1,-1,-1,1,0,0,0,0,1,-1,0,1010
"9",1,1,1,9,2,5,3,6,0,0,1,-1,0,0,0,-1,1,0,1,0,-1,1010
"10",1,1,1,10,2,6,3,6,0,0,1,-1,0,1,-1,0,1,-1,0,0,0,1010
"11",1,1,1,11,3,1,3,6,0,-1,1,0,0,0,0,1,-1,0,0,1,-1,1010
"12",1,1,1,12,3,2,3,6,0,0,0,0,0,-1,1,1,-1,0,-1,1,0,1010
"13",1,1,1,13,3,4,3,6,0,0,1,-1,-1,0,1,1,-1,0,0,0,0,1010
"14",1,1,1,14,3,5,3,6,0,0,1,-1,0,-1,1,0,0,0,0,1,-1,1010
"15",1,1,1,15,3,6,3,6,1,0,1,-1,0,0,0,1,0,-1,-1,1,0,1010
"16",1,1,1,16,4,1,3,6,0,-1,0,1,1,0,-1,0,0,0,0,1,-1,1010
"17",1,1,1,17,4,2,3,6,0,0,-1,1,1,-1,0,0,0,0,-1,1,0,1010
"18",1,1,1,18,4,3,3,6,0,0,-1,1,1,0,-1,-1,1,0,0,0,0,1010
"19",1,1,1,19,4,5,3,6,0,0,0,0,1,-1,0,-1,1,0,0,1,-1,1010
"20",1,1,1,20,4,6,3,6,0,0,0,0,1,0,-1,0,1,-1,-1,1,0,1010
"21",1,1,1,21,5,1,3,6,0,-1,0,1,0,1,-1,1,-1,0,0,0,0,1010
"22",1,1,1,22,5,2,3,6,0,0,-1,1,0,0,0,1,-1,0,-1,0,1,1010
"23",1,1,1,23,5,3,3,6,0,0,-1,1,0,1,-1,0,0,0,0,-1,1,1010
"24",1,1,1,24,5,4,3,6,0,0,0,0,-1,1,0,1,-1,0,0,-1,1,1010
"25",1,1,1,25,5,6,3,6,0,0,0,0,0,1,-1,1,0,-1,-1,0,1,1010
"26",1,1,1,26,6,1,3,6,0,-1,0,1,0,0,0,0,-1,1,1,0,-1,1010
"27",1,1,1,27,6,2,3,6,0,0,-1,1,0,-1,1,0,-1,1,0,0,0,1010
"28",1,1,1,28,6,3,3,6,0,0,-1,1,0,0,0,-1,0,1,1,-1,0,1010
"29",1,1,1,29,6,4,3,6,0,0,0,0,-1,0,1,0,-1,1,1,-1,0,1010
"30",1,1,1,30,6,5,3,6,0,0,0,0,0,-1,1,-1,0,1,1,0,-1,1010
"31",1,1,2,1,1,2,4,5,0,0,0,0,0,1,-1,0,-1,1,0,1,-1,1020
"32",1,1,2,2,1,3,4,5,0,1,-1,0,-1,1,0,0,0,0,0,1,-1,1020
"33",1,1,2,3,1,4,4,5,0,1,-1,0,0,0,0,0,-1,1,-1,1,0,1020
"34",1,1,2,4,1,5,4,5,0,1,-1,0,0,1,-1,-1,0,1,0,0,0,1020
"35",1,1,2,5,1,6,4,5,0,1,0,-1,-1,1,0,0,-1,1,0,0,0,1020
"36",1,1,2,6,2,1,4,5,0,0,0,0,0,-1,1,0,1,-1,0,-1,1,1020
"37",1,1,2,7,2,3,4,5,0,1,-1,0,-1,0,1,0,1,-1,0,0,0,1020
"38",1,1,2,8,2,4,4,5,0,1,-1,0,0,-1,1,0,0,0,-1,0,1,1020
"39",1,1,2,9,2,5,4,5,0,1,-1,0,0,0,0,-1,1,0,0,-1,1,1020
"40",1,1,2,10,2,6,4,5,0,1,0,-1,-1,0,1,0,0,0,0,-1,1,1020
"41",1,1,2,11,3,1,4,5,0,-1,1,0,1,-1,0,0,0,0,0,-1,1,1020
"42",1,1,2,12,3,2,4,5,0,-1,1,0,1,0,-1,0,-1,1,0,0,0,1020
"43",1,1,2,13,3,4,4,5,0,0,0,0,1,-1,0,0,-1,1,-1,0,1,1020
"44",1,1,2,14,3,5,4,5,0,0,0,0,1,0,-1,-1,0,1,0,-1,1,1020
